Machine_Type,Temperature_C,Vibration_mm_s,RPM,Pressure_bar,Humidity_percent,Power_kW,Status
CNC,54.73,3.19,3278,4.92,59.87,4.42,Normal
CNC,48.17,2.45,3650,5.69,68.15,3.83,Normal
CNC,38.04,3.31,3516,5.71,62.36,3.48,Normal
CNC,47.82,2.69,2671,5.76,46.85,3.6,Normal
CNC,41.53,2.69,3557,5.98,42.57,4.12,Normal
CNC,28.08,2.23,3320,5.71,54.48,3.44,Normal
CNC,53.19,2.5,2885,5.82,41.88,4.76,Normal
CNC,41.67,3.49,3722,5.19,33.31,3.45,Normal
CNC,41.49,2.33,2743,5.95,47.67,3.79,Normal
CNC,50.65,2.57,3256,4.73,56.47,4.05,Normal
CNC,51.95,2.76,3439,6.25,64.36,3.11,Normal
CNC,49.44,2.3,3160,5.71,58.19,3.51,Normal
CNC,48.57,2.88,3090,5.66,55.94,4.13,Normal
CNC,42.88,2.9,3071,4.72,35.24,4.64,Normal
CNC,41.39,2.69,3432,5.32,45.69,4.54,Normal
CNC,28.43,2.71,3357,5.65,64.31,4.9,Normal
CNC,45.49,2.07,2816,5.03,67.31,5.24,Normal
CNC,59.11,2.49,3148,5.65,41.37,3.76,Normal
CNC,42.37,2.43,3207,5.82,32.36,4.28,Normal
CNC,39.15,2.57,3700,6.08,50.99,3.62,Normal
CNC,49.73,2.18,3609,6.11,31.53,4.81,Normal
CNC,46.22,3.56,3212,5.01,62.68,3.98,Normal
CNC,77.88,4.25,4842,9.54,31.5,5.66,Anomaly
CNC,51.37,2.85,3039,5.81,49.68,4.38,Normal
CNC,42.44,1.99,2907,5.76,65.36,4.44,Normal
CNC,45.35,2.89,3386,6.29,58.63,4.97,Normal
CNC,82.43,8.75,4540,8.58,47.4,5.36,Anomaly
CNC,45.43,2.06,3788,5.41,31.28,3.97,Normal
CNC,45.28,2.74,3516,5.36,38.92,5.29,Normal
CNC,46.81,2.3,3166,4.97,67.67,3.97,Normal
CNC,40.16,2.98,3687,6.77,55.9,3.64,Normal
CNC,44.18,1.88,2959,5.01,57.4,4.17,Normal
CNC,48.64,2.71,3209,6.2,65.02,3.9,Normal
CNC,36.73,2.23,3065,5.49,62.41,4.8,Normal
CNC,82.08,8.98,5340,8.87,53.4,7.0,Anomaly
CNC,42.73,2.98,2579,5.79,45.29,4.79,Normal
CNC,41.93,3.63,3138,5.78,48.67,3.79,Normal
CNC,39.6,2.71,2999,5.28,60.97,3.14,Normal
CNC,43.76,3.17,2803,6.41,30.6,3.73,Normal
CNC,45.59,2.67,3200,5.92,54.97,4.42,Normal
CNC,37.0,2.48,3236,5.2,31.09,4.5,Normal
CNC,46.96,3.0,3289,5.36,68.85,3.69,Normal
CNC,51.25,2.82,2968,5.16,43.54,4.6,Normal
CNC,46.89,3.14,2997,5.33,54.75,4.98,Normal
CNC,45.83,3.82,3365,6.37,67.88,4.24,Normal
CNC,40.13,3.37,2754,5.34,60.18,3.56,Normal
CNC,86.57,7.53,5208,8.55,55.0,7.88,Anomaly
CNC,37.31,2.92,3193,5.82,38.94,4.47,Normal
CNC,46.1,2.99,3286,5.02,35.1,3.79,Normal
CNC,38.9,2.83,3155,5.56,46.8,4.07,Normal
CNC,46.6,3.25,2893,4.58,34.01,4.12,Normal
CNC,38.11,1.67,2922,4.87,63.91,4.05,Normal
CNC,45.2,1.62,3310,6.46,47.37,4.76,Normal
CNC,35.87,2.74,3456,5.48,37.85,3.85,Normal
CNC,43.67,2.4,3271,5.44,66.73,5.01,Normal
CNC,45.03,3.29,3588,5.0,37.85,3.79,Normal
CNC,40.49,3.96,3186,7.3,53.37,3.83,Normal
CNC,38.03,3.33,2529,5.24,33.56,4.48,Normal
CNC,48.62,4.51,3408,6.83,64.85,3.65,Normal
CNC,52.02,3.71,2955,5.94,39.33,3.91,Normal
CNC,99.98,8.61,3745,7.58,60.04,5.83,Anomaly
CNC,41.76,3.01,4041,6.27,44.76,4.41,Normal
CNC,46.5,3.4,3569,4.61,37.81,4.58,Normal
CNC,42.85,3.54,2980,5.28,67.28,4.37,Normal
CNC,41.5,2.51,3371,6.52,48.33,4.72,Normal
CNC,48.84,3.02,3239,6.78,30.87,2.66,Normal
CNC,44.48,1.99,3121,5.72,31.6,3.69,Normal
CNC,36.32,1.75,3170,5.44,48.35,4.71,Normal
CNC,69.84,7.61,4145,9.68,44.07,7.54,Anomaly
CNC,42.43,3.69,3372,6.76,34.65,3.86,Normal
CNC,43.7,2.92,3195,5.01,44.02,3.84,Normal
CNC,42.2,3.83,2974,4.18,43.84,4.12,Normal
CNC,26.88,3.14,2445,4.99,50.34,4.52,Normal
CNC,45.09,2.54,3041,4.94,49.33,3.94,Normal
CNC,84.69,8.22,3802,7.78,41.63,6.22,Anomaly
CNC,44.54,2.2,3218,5.39,40.58,4.39,Normal
CNC,39.08,2.46,3129,4.69,55.6,4.18,Normal
CNC,44.73,2.72,4022,5.55,43.75,4.35,Normal
CNC,40.4,2.93,3318,5.62,45.61,4.19,Normal
CNC,46.98,3.5,2867,4.51,32.61,4.03,Normal
CNC,50.21,2.44,2913,6.9,31.71,4.61,Normal
CNC,41.55,2.5,3797,6.01,41.77,4.74,Normal
CNC,37.64,3.12,2955,6.58,31.77,3.82,Normal
CNC,43.94,1.11,3265,6.23,41.47,3.96,Normal
CNC,46.41,3.8,3289,5.71,69.86,4.33,Normal
CNC,44.49,2.86,3368,5.21,32.66,4.28,Normal
CNC,40.43,2.8,3397,4.83,47.6,4.46,Normal
CNC,68.27,7.03,4561,8.49,40.64,6.83,Anomaly
CNC,40.93,1.59,3386,5.13,35.06,4.13,Normal
CNC,75.95,6.09,4877,9.46,64.44,6.72,Anomaly
CNC,38.31,1.97,3260,6.71,44.94,3.82,Normal
CNC,91.21,7.74,4097,9.32,46.82,5.94,Anomaly
CNC,57.67,7.17,3288,9.36,46.2,8.34,Anomaly
CNC,47.06,2.85,3316,6.29,66.75,4.55,Normal
CNC,64.68,7.24,4871,8.56,67.58,6.99,Anomaly
CNC,72.33,8.42,4670,9.27,58.55,6.71,Anomaly
CNC,52.02,2.52,3198,6.89,69.09,4.18,Normal
CNC,44.08,2.72,3518,5.52,59.15,4.74,Normal
CNC,64.84,6.03,5230,9.3,50.22,6.37,Anomaly
CNC,51.1,4.01,3427,5.24,69.09,4.59,Normal
CNC,70.22,6.84,4711,9.61,61.04,6.78,Anomaly
CNC,48.68,3.1,3150,4.35,43.43,3.23,Normal
CNC,42.8,3.2,3318,6.08,43.31,4.52,Normal
CNC,37.16,3.16,3391,5.52,50.8,3.8,Normal
CNC,52.01,2.98,3751,5.73,45.2,3.89,Normal
CNC,71.84,6.6,4011,9.05,53.92,7.43,Anomaly
CNC,40.53,2.09,3279,6.09,47.11,4.19,Normal
CNC,46.06,3.28,3298,6.83,69.97,4.39,Normal
CNC,47.04,4.09,2548,5.76,41.08,3.6,Normal
CNC,41.17,2.64,3148,5.38,40.46,4.74,Normal
CNC,43.7,2.25,3370,6.6,37.22,4.57,Normal
CNC,50.79,3.26,3170,5.94,47.48,3.62,Normal
CNC,45.95,3.58,3033,6.18,34.95,4.66,Normal
CNC,44.55,3.29,3153,5.82,32.36,5.18,Normal
CNC,76.87,7.63,4421,9.19,51.47,7.11,Anomaly
CNC,41.6,2.24,3216,5.61,33.21,4.32,Normal
CNC,50.41,2.14,3348,4.85,52.99,3.75,Normal
CNC,50.27,3.28,3025,6.28,38.52,3.82,Normal
CNC,40.3,2.94,3534,5.68,32.95,3.47,Normal
CNC,46.84,2.55,3253,5.31,35.84,4.41,Normal
CNC,46.0,2.12,3232,6.22,43.92,5.12,Normal
CNC,41.62,3.61,3079,5.89,63.25,4.14,Normal
CNC,51.13,3.32,3384,6.02,58.32,4.81,Normal
CNC,37.97,2.73,3652,5.8,63.18,3.66,Normal
CNC,46.03,2.83,3535,5.37,63.13,4.09,Normal
CNC,62.06,5.59,4447,9.66,51.52,7.11,Anomaly
CNC,51.43,1.56,3177,6.72,55.02,4.07,Normal
CNC,48.84,2.2,3723,5.16,67.32,4.34,Normal
CNC,79.8,7.97,5011,8.83,61.06,6.33,Anomaly
CNC,42.8,3.5,2744,7.69,69.99,4.03,Normal
CNC,39.36,4.46,2695,6.07,59.13,3.39,Normal
CNC,66.1,6.19,4518,8.82,31.25,8.5,Anomaly
CNC,64.29,8.87,3950,7.66,35.32,7.27,Anomaly
CNC,41.53,1.32,3237,7.05,38.57,3.89,Normal
CNC,44.43,1.96,3343,5.48,54.61,3.65,Normal
CNC,51.57,2.86,3210,5.82,40.77,3.79,Normal
CNC,54.36,2.89,3055,5.51,69.15,4.56,Normal
CNC,41.15,2.21,3327,5.07,53.02,4.32,Normal
CNC,38.27,3.3,3032,5.55,43.96,4.56,Normal
CNC,39.2,2.59,3248,5.34,59.16,3.91,Normal
CNC,65.86,8.72,4612,8.08,38.25,5.72,Anomaly
CNC,50.44,3.5,3170,5.0,55.44,4.75,Normal
CNC,50.26,2.52,3410,6.35,64.38,3.18,Normal
CNC,39.11,3.29,2925,5.58,57.73,3.9,Normal
CNC,47.22,3.35,3631,5.58,56.67,4.6,Normal
CNC,45.69,2.06,3063,7.15,66.96,4.68,Normal
CNC,47.81,1.5,2749,5.49,30.39,4.1,Normal
CNC,50.17,2.16,3344,5.29,34.71,4.05,Normal
CNC,55.31,2.64,3413,6.28,32.16,4.63,Normal
CNC,84.46,7.61,3684,9.42,46.53,7.46,Anomaly
CNC,39.91,2.48,3382,6.57,35.28,4.26,Normal
CNC,47.91,3.23,2902,6.19,46.81,4.94,Normal
CNC,46.85,1.46,3340,6.4,39.61,4.05,Normal
CNC,58.83,3.87,3371,6.48,48.7,3.79,Normal
CNC,47.37,2.43,2316,5.96,35.09,3.38,Normal
CNC,72.56,7.75,4915,7.13,55.6,7.2,Anomaly
CNC,52.29,2.03,2779,7.14,42.47,4.52,Normal
CNC,41.74,2.22,2834,6.46,51.37,3.45,Normal
CNC,41.55,2.93,2720,6.06,63.01,3.41,Normal
CNC,52.3,2.51,3059,6.25,56.86,4.19,Normal
CNC,51.26,3.22,3354,5.97,65.68,4.6,Normal
CNC,48.67,1.7,3432,5.0,62.98,4.18,Normal
CNC,84.57,8.36,3994,8.62,46.58,6.94,Anomaly
CNC,41.58,3.85,2580,6.03,50.93,3.8,Normal
CNC,42.74,2.44,3322,5.19,67.11,3.81,Normal
CNC,43.97,1.92,2872,6.01,40.35,3.7,Normal
CNC,47.71,1.87,3030,6.33,68.98,4.7,Normal
CNC,74.22,7.11,4881,7.95,66.85,6.13,Anomaly
CNC,84.3,6.1,4005,8.6,61.49,6.51,Anomaly
CNC,38.26,2.81,3716,6.65,49.29,4.67,Normal
CNC,53.53,3.49,2584,5.88,64.8,4.49,Normal
CNC,44.42,3.61,3021,6.22,58.04,4.86,Normal
CNC,48.38,2.13,3456,5.22,31.91,4.5,Normal
CNC,42.59,3.06,3026,6.42,66.55,5.17,Normal
CNC,53.11,2.65,3511,5.14,58.49,4.47,Normal
CNC,56.35,2.15,3104,5.82,44.06,3.78,Normal
CNC,43.97,3.26,3046,5.23,36.91,3.87,Normal
CNC,56.13,3.11,2973,4.85,66.12,4.05,Normal
CNC,49.27,2.8,3080,5.69,54.66,4.17,Normal
CNC,50.12,2.29,2601,6.11,41.66,4.7,Normal
CNC,77.32,6.96,4376,8.79,59.76,6.7,Anomaly
CNC,48.77,3.88,3504,6.74,66.08,4.54,Normal
CNC,46.12,3.95,2967,6.78,53.91,4.16,Normal
CNC,41.33,2.53,3818,5.58,33.71,5.03,Normal
CNC,53.77,3.25,2924,7.05,53.82,4.81,Normal
CNC,44.02,2.25,3380,4.75,43.01,3.85,Normal
CNC,67.99,8.43,4319,9.85,39.08,5.38,Anomaly
CNC,39.18,3.3,3076,5.06,31.46,3.9,Normal
CNC,47.5,1.93,2838,4.27,41.81,4.6,Normal
CNC,48.25,3.14,3422,6.43,40.99,4.51,Normal
CNC,40.09,2.68,2936,5.54,65.36,4.15,Normal
CNC,49.05,3.59,3227,4.51,53.98,4.76,Normal
CNC,36.74,4.2,3309,5.63,51.61,4.07,Normal
CNC,39.68,3.41,2725,5.71,33.32,5.14,Normal
CNC,55.72,2.5,3382,6.23,55.02,4.17,Normal
CNC,42.63,3.14,4038,5.5,45.08,4.06,Normal
CNC,45.3,3.71,3148,5.98,38.95,4.28,Normal
CNC,80.89,5.66,4897,7.6,59.6,6.31,Anomaly
CNC,46.44,2.29,2949,5.94,55.99,4.63,Normal
CNC,51.78,2.44,3517,5.48,34.67,4.52,Normal
CNC,40.02,3.0,3231,6.03,55.75,4.71,Normal
CNC,44.42,2.36,3089,6.22,43.69,4.86,Normal
CNC,45.7,3.06,3489,5.81,36.99,4.12,Normal
CNC,36.5,1.37,2891,5.35,51.5,4.04,Normal
CNC,38.15,1.64,2925,6.14,34.59,4.66,Normal
CNC,44.98,3.25,3737,5.75,42.68,3.94,Normal
CNC,37.88,2.56,3092,4.76,64.83,4.05,Normal
CNC,50.74,3.19,3480,5.25,65.6,3.46,Normal
CNC,41.37,1.86,3195,5.96,67.9,4.58,Normal
CNC,58.45,4.1,4467,7.26,55.42,8.33,Anomaly
CNC,42.16,2.53,3621,5.17,69.6,3.6,Normal
CNC,43.49,2.91,2646,5.34,41.9,4.59,Normal
CNC,41.02,3.72,3302,5.03,68.91,3.66,Normal
CNC,36.03,2.81,3681,5.76,63.11,4.18,Normal
CNC,42.38,3.43,3083,5.89,49.45,5.56,Normal
CNC,58.49,1.75,2949,5.48,35.03,3.93,Normal
CNC,50.8,1.66,3001,5.18,53.43,4.87,Normal
CNC,67.21,6.99,4858,8.44,41.82,5.18,Anomaly
CNC,40.17,1.3,2954,4.84,37.67,3.94,Normal
CNC,44.13,2.28,3395,6.12,68.8,3.65,Normal
CNC,45.64,2.11,3223,5.31,66.47,4.02,Normal
CNC,32.5,3.2,3362,5.66,60.86,3.54,Normal
CNC,55.5,2.31,2974,6.19,60.14,3.48,Normal
CNC,74.89,7.57,4038,7.69,37.11,5.03,Anomaly
CNC,70.44,6.07,4508,7.83,69.7,7.95,Anomaly
CNC,85.94,6.38,4767,9.59,64.92,7.29,Anomaly
CNC,49.7,3.37,2778,5.44,64.23,4.11,Normal
CNC,25.46,2.55,3328,6.02,49.02,2.99,Normal
CNC,53.31,2.41,2769,6.41,61.35,4.83,Normal
CNC,46.18,1.6,2987,6.15,35.46,4.6,Normal
CNC,48.87,2.45,3514,5.71,61.28,3.99,Normal
CNC,83.26,6.47,4317,7.69,58.03,5.64,Anomaly
CNC,46.3,3.47,3306,6.23,35.08,3.95,Normal
CNC,45.63,3.32,3102,6.1,49.5,4.65,Normal
CNC,49.32,2.63,3064,5.75,65.7,4.13,Normal
CNC,109.78,6.42,4967,8.09,48.85,5.64,Anomaly
CNC,78.8,8.65,4008,6.44,56.72,5.92,Anomaly
CNC,59.83,2.91,3573,6.69,58.54,4.04,Normal
CNC,74.13,9.15,4380,10.02,69.14,7.98,Anomaly
CNC,44.06,2.68,3111,5.72,44.98,3.92,Normal
CNC,36.36,2.1,3480,5.14,63.92,4.22,Normal
CNC,58.55,3.34,3366,5.53,41.53,4.5,Normal
CNC,45.92,2.94,2936,5.94,56.88,4.01,Normal
CNC,50.73,4.17,3446,5.2,45.85,4.49,Normal
CNC,42.61,3.35,3300,7.03,53.87,3.91,Normal
CNC,70.45,7.16,4010,8.81,61.43,8.16,Anomaly
CNC,49.46,4.14,2558,5.52,43.07,4.54,Normal
CNC,64.5,7.8,4663,9.85,49.41,8.68,Anomaly
CNC,48.98,1.91,3098,5.44,65.79,4.27,Normal
CNC,81.07,7.55,5516,6.93,40.89,7.16,Anomaly
CNC,49.93,3.44,3485,6.21,41.47,4.37,Normal
CNC,49.11,1.84,2847,6.85,66.71,4.19,Normal
CNC,49.47,3.3,2886,5.33,38.86,3.71,Normal
CNC,50.2,2.7,2678,6.49,63.45,3.45,Normal
CNC,86.73,6.78,4436,8.4,69.79,7.38,Anomaly
CNC,82.04,6.62,4456,11.08,43.32,7.2,Anomaly
CNC,41.89,4.08,3588,5.48,53.81,4.09,Normal
CNC,56.24,3.79,3151,5.84,35.42,4.47,Normal
CNC,37.04,3.64,3873,6.16,35.16,3.94,Normal
CNC,45.32,2.48,3281,5.6,31.22,3.98,Normal
CNC,43.19,3.32,3290,5.71,36.52,3.89,Normal
CNC,42.02,1.78,3633,5.2,39.76,3.95,Normal
CNC,54.45,2.9,3555,6.27,44.24,3.85,Normal
CNC,45.63,2.76,3662,5.54,53.29,4.47,Normal
CNC,37.55,3.34,3372,6.29,59.81,4.5,Normal
CNC,68.4,7.7,3901,9.16,35.66,5.52,Anomaly
CNC,51.95,3.32,3488,6.27,30.9,3.81,Normal
CNC,50.4,2.44,3177,6.76,39.39,3.81,Normal
CNC,44.69,4.42,2830,5.58,44.41,4.37,Normal
CNC,37.47,2.85,3704,4.86,55.97,4.33,Normal
CNC,92.18,5.79,4727,8.76,56.66,4.49,Anomaly
CNC,48.22,3.99,3545,5.86,53.71,4.38,Normal
CNC,73.08,6.13,4851,8.27,53.99,6.47,Anomaly
CNC,50.53,1.91,2435,5.43,68.89,4.68,Normal
CNC,40.81,3.77,3511,4.95,40.24,4.0,Normal
CNC,41.42,4.31,3343,4.9,48.93,3.81,Normal
CNC,80.83,7.94,4660,8.41,41.71,6.74,Anomaly
CNC,46.77,2.49,3364,6.7,68.66,4.3,Normal
CNC,48.55,1.72,3505,5.99,50.93,3.88,Normal
CNC,48.26,2.7,2784,5.61,36.11,3.81,Normal
CNC,46.4,2.41,3405,5.76,64.56,4.48,Normal
CNC,35.82,3.07,2812,5.49,62.18,4.58,Normal
CNC,52.9,2.56,3845,5.36,62.43,4.61,Normal
CNC,48.14,2.02,3472,5.12,37.68,4.35,Normal
CNC,39.44,2.75,3523,5.48,56.29,4.41,Normal
CNC,82.64,8.15,4130,6.39,66.51,7.19,Anomaly
CNC,38.59,2.22,2692,5.62,49.81,3.47,Normal
CNC,51.49,2.65,3250,5.05,50.09,5.03,Normal
CNC,54.68,2.94,2865,6.3,32.51,3.76,Normal
CNC,43.23,3.44,3076,5.52,52.75,5.26,Normal
CNC,75.17,8.05,4842,8.76,47.51,6.37,Anomaly
CNC,79.47,6.45,3801,9.22,34.09,7.84,Anomaly
CNC,44.19,2.5,2976,5.72,42.42,3.53,Normal
CNC,34.73,3.51,2516,4.99,63.36,4.32,Normal
CNC,40.96,2.76,2843,6.01,53.36,4.09,Normal
CNC,54.8,2.88,2769,6.09,56.93,4.49,Normal
CNC,85.59,6.93,3763,8.37,43.43,6.75,Anomaly
CNC,50.91,1.8,3506,6.7,58.16,4.49,Normal
CNC,34.77,2.12,2914,5.94,60.1,4.53,Normal
CNC,36.59,3.37,3200,6.39,34.65,4.24,Normal
CNC,89.0,4.1,3880,9.34,46.44,7.02,Anomaly
CNC,45.75,1.7,3567,6.2,64.96,4.0,Normal
CNC,77.78,9.04,4869,9.62,63.28,4.91,Anomaly
CNC,48.88,7.06,4354,9.26,67.31,5.36,Anomaly
CNC,53.46,1.71,3204,5.42,68.14,4.62,Normal
CNC,43.11,2.79,3948,5.68,58.09,3.97,Normal
CNC,45.85,3.16,3725,6.2,53.63,4.59,Normal
CNC,44.89,2.65,2967,5.36,50.16,3.02,Normal
CNC,45.76,3.9,3624,5.99,47.81,3.5,Normal
CNC,40.04,3.2,3181,6.42,30.69,4.34,Normal
CNC,46.78,2.9,3264,5.6,54.75,3.99,Normal
CNC,52.89,0.84,3018,5.93,67.73,4.61,Normal
CNC,43.75,2.8,3495,5.55,30.18,4.42,Normal
CNC,37.87,3.1,3199,5.64,63.33,3.68,Normal
CNC,62.4,6.85,4067,8.13,51.82,6.68,Anomaly
CNC,52.03,1.93,2974,5.74,30.93,3.68,Normal
CNC,55.94,1.02,3560,6.22,67.29,4.42,Normal
CNC,41.73,2.09,3240,6.11,43.65,3.78,Normal
CNC,47.59,2.16,3544,5.4,51.98,4.6,Normal
CNC,55.56,1.4,2998,6.18,56.07,4.61,Normal
CNC,44.41,2.86,3344,6.51,37.24,4.77,Normal
CNC,40.04,3.67,3151,5.84,62.96,4.72,Normal
CNC,44.81,3.09,3380,5.79,30.59,4.01,Normal
CNC,42.95,1.73,3363,5.5,30.61,3.92,Normal
CNC,38.98,2.77,3068,5.75,54.26,4.04,Normal
CNC,49.81,4.8,3160,5.51,65.57,3.39,Normal
CNC,39.16,3.25,3004,5.48,62.85,4.74,Normal
CNC,43.31,2.22,3090,6.41,52.58,4.12,Normal
CNC,51.54,3.15,3909,5.33,43.1,3.96,Normal
CNC,41.09,2.06,3475,5.78,36.81,5.11,Normal
CNC,41.49,1.56,2982,6.44,44.32,4.43,Normal
CNC,40.86,1.7,3256,5.23,52.34,3.93,Normal
CNC,45.92,0.57,3302,5.0,54.3,4.96,Normal
CNC,47.65,3.26,3084,6.23,50.65,3.78,Normal
CNC,51.04,2.86,3024,7.89,31.27,4.65,Normal
CNC,54.54,2.44,2983,6.66,46.78,5.0,Normal
CNC,40.63,3.55,3569,6.07,47.33,4.02,Normal
CNC,44.66,3.13,3057,6.55,65.51,3.76,Normal
CNC,83.97,7.32,4486,7.95,57.11,6.45,Anomaly
CNC,47.93,2.82,3029,4.68,39.09,5.12,Normal
CNC,43.02,2.72,3361,5.64,51.65,4.67,Normal
CNC,47.7,3.01,3902,5.23,57.79,4.31,Normal
CNC,61.77,2.82,2976,6.38,54.52,2.92,Normal
CNC,51.51,1.97,3546,5.59,33.85,4.37,Normal
CNC,77.24,8.85,4899,9.17,66.85,7.23,Anomaly
CNC,55.65,2.85,3314,5.8,62.3,4.07,Normal
CNC,35.74,3.96,2955,6.16,64.01,4.17,Normal
CNC,47.47,2.8,3055,6.06,62.54,4.72,Normal
CNC,45.44,4.52,3388,5.7,42.62,3.86,Normal
CNC,49.55,2.57,3339,4.91,42.69,3.74,Normal
CNC,45.48,3.64,3303,6.12,43.78,4.34,Normal
CNC,55.8,2.93,2909,5.93,43.63,5.48,Normal
CNC,44.76,3.61,3283,6.6,35.7,4.64,Normal
CNC,46.91,3.38,3388,6.16,40.42,3.49,Normal
CNC,86.91,7.26,5046,9.01,31.94,7.9,Anomaly
CNC,42.08,3.15,3121,6.16,62.0,5.11,Normal
CNC,39.76,2.83,3605,5.16,68.37,3.87,Normal
CNC,44.96,3.15,3617,4.86,46.35,3.94,Normal
CNC,44.38,2.27,2794,5.68,49.13,4.55,Normal
CNC,40.94,2.64,3126,4.16,49.78,4.49,Normal
CNC,41.96,2.92,2933,6.89,69.53,4.11,Normal
CNC,42.13,3.94,2733,5.34,48.22,3.78,Normal
CNC,43.11,2.54,2675,7.05,53.34,4.02,Normal
CNC,59.33,3.21,2568,6.05,31.1,4.35,Normal
CNC,36.17,2.85,3146,6.39,55.18,4.22,Normal
CNC,52.02,1.53,3609,4.61,68.4,3.83,Normal
CNC,74.52,7.42,5023,7.1,55.03,7.64,Anomaly
CNC,42.31,1.41,3563,6.17,51.19,3.69,Normal
CNC,47.46,3.73,3598,5.72,61.31,4.2,Normal
CNC,44.05,4.06,2708,5.79,59.04,3.62,Normal
CNC,50.26,3.4,2935,6.25,63.99,4.48,Normal
CNC,48.83,1.77,3489,5.4,31.52,4.03,Normal
CNC,40.4,3.63,3023,5.08,41.92,4.85,Normal
CNC,39.93,2.04,2981,6.55,35.54,4.93,Normal
CNC,41.09,3.43,3061,6.03,38.79,3.92,Normal
CNC,83.54,8.42,4792,7.52,33.91,7.32,Anomaly
CNC,76.66,8.23,4118,6.56,45.25,6.37,Anomaly
CNC,52.15,2.0,3221,5.59,60.12,4.03,Normal
CNC,52.76,7.07,3747,7.62,37.8,7.2,Anomaly
CNC,42.69,4.01,2557,5.1,40.23,3.46,Normal
CNC,52.75,3.19,2635,6.88,30.95,4.65,Normal
CNC,49.68,2.91,3227,6.18,45.66,4.05,Normal
CNC,40.81,2.19,3246,7.4,68.35,4.32,Normal
CNC,46.03,3.16,3614,6.44,36.82,4.61,Normal
CNC,40.73,1.68,3028,5.63,60.94,4.49,Normal
CNC,35.97,2.05,3197,5.72,42.25,3.73,Normal
CNC,46.75,2.82,3469,5.7,52.02,4.42,Normal
CNC,46.53,3.33,3202,5.35,67.02,4.94,Normal
CNC,50.09,3.33,2547,5.98,43.92,3.39,Normal
CNC,50.98,1.8,3223,5.79,30.23,4.04,Normal
CNC,49.16,1.32,3175,5.03,43.13,4.8,Normal
CNC,49.28,1.67,2690,5.89,42.75,4.0,Normal
CNC,39.18,2.9,3606,5.76,41.83,4.76,Normal
CNC,60.21,8.08,4101,9.11,56.17,5.78,Anomaly
CNC,45.34,3.21,3378,5.44,65.02,4.57,Normal
CNC,46.63,2.58,3121,6.6,34.86,3.9,Normal
CNC,46.93,3.17,3086,5.51,34.93,3.26,Normal
CNC,98.94,6.32,4352,8.52,30.05,7.26,Anomaly
