text,topic,source_type,source_credibility,article_length,contradiction_score,semantic_similarity,readability_score,sentiment,trust_score
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,3753,0.65,0.93,88.45,Positive,43.88
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,4510,1.0,0.43,36.33,Neutral,18.28
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,4973,0.38,0.84,90.0,Neutral,86.68
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,3917,0.38,0.82,64.6,Positive,46.45
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,2634,0.35,0.81,79.27,Neutral,82.6
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,4700,0.53,0.63,73.03,Positive,41.18
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,1790,0.49,0.5,59.81,Positive,41.52
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,3995,0.46,0.51,91.57,Neutral,85.19
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,3162,0.11,0.96,94.84,Positive,88.11
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,4603,0.91,0.7,63.53,Negative,39.66
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,2502,0.54,0.48,65.8,Negative,71.47
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,2029,0.17,0.75,52.16,Positive,48.85
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,1946,0.09,0.66,59.88,Neutral,92.75
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,3220,0.49,0.71,58.44,Neutral,35.74
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,2569,0.4,0.91,75.81,Negative,87.5
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,3240,0.59,0.74,56.87,Positive,63.99
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,2664,0.01,0.79,75.27,Negative,82.59
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,3451,0.09,0.65,88.58,Negative,79.49
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3352,0.66,0.45,99.51,Negative,86.98
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,2663,0.05,0.5,75.37,Positive,82.46
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,3587,0.01,0.63,33.71,Negative,67.04
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,2589,0.24,0.67,39.22,Negative,79.75
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,2116,0.97,0.61,61.21,Negative,61.19
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,1655,0.3,0.88,63.59,Negative,48.47
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,457,0.45,0.57,87.4,Neutral,76.9
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,4306,0.96,0.73,75.31,Positive,64.7
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,4661,0.61,0.83,85.32,Positive,70.09
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,1041,0.98,0.88,49.92,Positive,62.4
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,2296,1.0,0.47,54.12,Neutral,49.41
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,4041,0.6,0.47,88.81,Neutral,85.14
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,3434,0.09,0.83,41.44,Neutral,90.47
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,950,0.67,0.93,41.16,Positive,65.04
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,2197,0.52,0.58,46.67,Negative,31.5
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,4177,0.43,0.77,90.3,Positive,89.35
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,2479,0.09,0.63,70.52,Neutral,97.03
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,972,0.31,0.65,99.65,Negative,71.25
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,2017,0.22,0.79,31.94,Neutral,84.86
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,1004,0.29,0.75,90.67,Negative,88.42
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,2557,0.21,0.44,43.95,Negative,55.65
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,1762,0.11,0.75,51.92,Neutral,52.72
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,1002,0.42,0.68,59.56,Negative,67.04
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,2569,0.26,0.44,69.14,Neutral,89.05
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,322,0.5,0.88,85.56,Negative,75.18
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,336,0.84,0.51,33.22,Positive,17.93
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,4372,0.57,0.8,46.36,Neutral,79.36
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,4924,0.29,0.7,61.58,Neutral,41.5
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Blog,4,868,0.5,0.65,39.59,Negative,37.08
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,1170,0.61,0.84,65.46,Positive,51.15
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,1996,0.91,0.76,98.4,Neutral,75.46
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,2541,0.13,0.87,64.84,Negative,96.36
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,1311,0.97,0.49,96.39,Neutral,33.64
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Social Media Post,3,1752,0.57,0.93,63.02,Negative,38.49
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,1744,0.19,0.9,66.76,Neutral,96.3
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,4405,0.82,0.93,42.3,Neutral,79.57
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,News Article,6,2530,0.11,0.52,88.83,Negative,72.94
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,3860,0.52,0.51,55.19,Neutral,60.74
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,134,0.11,0.86,51.24,Positive,76.6
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Educational Website,7,3378,0.18,0.41,51.51,Neutral,74.64
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,2811,0.59,0.67,77.83,Positive,73.38
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,1088,0.78,0.65,39.29,Negative,62.21
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,1941,0.99,0.75,38.97,Negative,25.53
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,2838,0.56,0.66,67.76,Negative,71.13
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,1533,0.43,0.49,73.5,Positive,70.9
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,2838,0.23,0.91,91.61,Neutral,77.39
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,4064,0.63,0.51,46.4,Positive,40.34
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,3570,0.24,0.84,39.45,Positive,44.61
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,4008,0.47,0.73,40.41,Neutral,81.39
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,3351,0.57,0.44,62.14,Positive,38.68
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3690,0.5,0.59,92.98,Negative,92.69
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,4511,0.17,0.68,86.69,Positive,88.62
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,2401,0.7,0.73,63.91,Positive,58.51
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,3944,0.39,0.81,87.86,Neutral,79.94
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,4016,0.76,0.46,92.32,Neutral,79.4
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,291,0.73,0.72,60.6,Positive,74.13
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,4361,0.07,0.97,80.81,Negative,64.74
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,438,0.41,0.6,69.56,Positive,76.38
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,4692,0.39,0.64,75.29,Positive,77.62
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,4871,0.55,0.57,67.63,Positive,36.24
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,2941,0.58,0.53,56.8,Positive,34.1
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,2120,0.86,0.82,58.23,Positive,75.2
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,2450,0.75,0.6,52.55,Negative,36.73
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Blog,4,3136,0.18,0.83,52.02,Positive,54.94
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,496,0.61,0.65,80.15,Negative,65.89
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,4869,0.81,0.79,63.01,Neutral,74.42
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,4317,0.96,0.7,54.82,Negative,76.68
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Blog,4,2337,0.32,0.45,47.21,Negative,40.27
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,4873,0.8,0.42,70.52,Negative,76.43
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,267,0.29,0.46,50.39,Negative,34.93
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,4416,0.51,0.73,30.52,Positive,79.72
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Educational Website,7,4146,0.78,0.48,47.12,Positive,53.84
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,2910,0.04,0.78,92.56,Negative,87.56
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Blog,4,4506,0.3,0.91,94.24,Positive,61.13
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,4174,0.8,0.99,81.15,Negative,75.95
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,1164,0.42,0.64,53.13,Positive,36.86
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,3914,0.29,0.72,94.28,Positive,85.83
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,4683,0.22,0.88,97.85,Negative,83.49
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,4328,0.83,0.42,38.7,Neutral,25.74
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,3935,0.89,0.75,61.66,Negative,63.86
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,2945,0.64,0.49,85.69,Neutral,31.66
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,3890,0.52,0.55,90.42,Neutral,65.42
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,1688,0.75,0.48,52.88,Neutral,36.68
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,381,0.66,0.81,39.21,Positive,80.15
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,4446,0.6,0.99,99.78,Neutral,49.46
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,320,0.73,0.52,78.87,Neutral,44.77
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Research Paper,9,671,0.65,0.48,80.18,Positive,76.4
